City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Day
Ahmedabad,2015-01-01,67.45057794890306,118.12710293078135,0.92,18.22,17.15,23.48347601937197,0.92,27.64,133.36,0.0,0.02,0.0,166.4635814889336,Moderate,2015,1,1
Ahmedabad,2015-01-02,67.45057794890306,118.12710293078135,0.97,15.69,16.46,23.48347601937197,0.97,24.55,34.06,3.68,5.5,3.77,166.4635814889336,Moderate,2015,1,2
Ahmedabad,2015-01-03,67.45057794890306,118.12710293078135,17.4,19.3,29.7,23.48347601937197,17.4,29.07,30.7,6.8,16.4,2.25,166.4635814889336,Moderate,2015,1,3
Ahmedabad,2015-01-04,67.45057794890306,118.12710293078135,1.7,18.48,17.97,23.48347601937197,1.7,18.59,36.08,4.43,10.14,1.0,166.4635814889336,Moderate,2015,1,4
Ahmedabad,2015-01-05,67.45057794890306,118.12710293078135,22.1,21.42,37.76,23.48347601937197,22.1,39.33,39.31,7.01,18.89,2.78,166.4635814889336,Moderate,2015,1,5
Ahmedabad,2015-01-06,67.45057794890306,118.12710293078135,45.41,38.48,81.5,23.48347601937197,45.41,45.76,46.51,5.42,10.83,1.93,166.4635814889336,Moderate,2015,1,6
Ahmedabad,2015-01-07,67.45057794890306,118.12710293078135,112.16,40.62,130.77,23.48347601937197,112.16,32.28,33.47,0.0,0.0,0.0,166.4635814889336,Moderate,2015,1,7
Ahmedabad,2015-01-08,67.45057794890306,118.12710293078135,80.87,36.74,96.75,23.48347601937197,80.87,38.54,31.89,0.0,0.0,0.0,166.4635814889336,Moderate,2015,1,8
Ahmedabad,2015-01-09,67.45057794890306,118.12710293078135,29.16,31.0,48.0,23.48347601937197,29.16,58.68,25.75,0.0,0.0,0.0,166.4635814889336,Moderate,2015,1,9
Ahmedabad,2015-01-10,67.45057794890306,118.12710293078135,17.574729662029362,7.04,0.0,23.48347601937197,2.2485982090856145,8.29,4.55,0.0,0.0,0.0,166.4635814889336,Moderate,2015,1,10
