City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Year,Month,Day
Ahmedabad,2018-01-01,84.46,118.12710293078135,7.58,87.62,48.4,23.48347601937197,7.58,102.36,69.02,14.48,45.6,6.33,278.0,Poor,2018,1,1
Ahmedabad,2018-01-02,76.51,118.12710293078135,9.26,76.69,44.32,23.48347601937197,9.26,103.46,93.51,14.29,61.83,7.48,256.0,Poor,2018,1,2
Ahmedabad,2018-01-03,63.88,118.12710293078135,13.87,69.32,44.16,23.48347601937197,13.87,70.3,105.33,12.77,60.99,9.5,300.0,Poor,2018,1,3
Ahmedabad,2018-01-04,81.1,118.12710293078135,19.42,109.07,67.15,23.48347601937197,19.42,93.3,65.69,19.56,72.46,11.29,532.0,Severe,2018,1,4
Ahmedabad,2018-01-05,73.61,118.12710293078135,25.96,173.08,103.8,23.48347601937197,25.96,93.86,36.51,17.69,61.48,9.93,534.0,Severe,2018,1,5
Ahmedabad,2018-01-06,75.79,118.12710293078135,31.55,146.8,95.16,23.48347601937197,31.55,113.82,41.95,21.18,64.94,11.11,738.0,Severe,2018,1,6
Ahmedabad,2018-01-07,77.87,118.12710293078135,23.19,137.62,84.44,23.48347601937197,23.19,107.58,50.46,16.52,56.8,10.21,622.0,Severe,2018,1,7
Ahmedabad,2018-01-08,77.72,118.12710293078135,8.91,135.66,72.82,23.48347601937197,8.91,101.93,48.73,14.27,49.51,6.42,517.0,Severe,2018,1,8
Ahmedabad,2018-01-09,66.89,118.12710293078135,5.86,92.57,49.53,23.48347601937197,5.86,89.53,68.56,9.0,37.96,4.21,216.0,Poor,2018,1,9
Ahmedabad,2018-01-10,74.57,118.12710293078135,16.31,133.53,77.31,23.48347601937197,16.31,103.2,55.23,12.18,55.8,8.0,316.0,Very Poor,2018,1,10
Ahmedabad,2018-01-11,89.1,118.12710293078135,44.57,137.16,100.17,23.48347601937197,44.57,92.55,59.41,18.16,59.55,18.01,586.0,Severe,2018,1,11
